kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.4393	Eukaryota	Arthropoda	Insecta	Hemiptera	Aphrophoridae	Clovia	Clovia bipunctata	Clovia bipunctata	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4423	Eukaryota	Arthropoda	Insecta	Coleoptera	Pyrochroidae	Pyrochroa	Pyrochroa coccinea	Pyrochroa coccinea	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4462	Eukaryota		Bigyra	Bicosoecida		Cafileria	Cafileria marina	Cafileria marina	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4476	Eukaryota	Arthropoda	Insecta	Hemiptera	Cimicidae	Latrocimex	Latrocimex spectans	Latrocimex spectans	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4487	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae		Chlorellaceae sp. 311 I	Chlorellaceae sp. 311 I	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4549	Eukaryota	Arthropoda	Arachnida	Trombidiformes	Eupodidae		Eupodidae sp. BIOUG35138_F05	Eupodidae sp. BIOUG35138_F05	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4567	Eukaryota	Chlorophyta	Trebouxiophyceae				Trebouxiophyceae sp. MX_AZ01	Trebouxiophyceae sp. MX_AZ01	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4570	Eukaryota	Arthropoda	Insecta	Lepidoptera	Saturniidae	Archaeoattacus	Archaeoattacus edwardsii	Archaeoattacus edwardsii	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4616	Eukaryota	Rhodophyta	Florideophyceae	Rhodymeniales	Rhodymeniaceae		Rhodymeniaceae sp. 1SA	Rhodymeniaceae sp. 1SA	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4644	Eukaryota	Tubulinea	Elardia	Arcellinida	Hyalospheniidae	Apodera	Apodera vas	Apodera vas	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4688	Eukaryota	Arthropoda	Insecta	Hemiptera	Psyllidae	Baeopelma	Baeopelma foersteri	Baeopelma foersteri	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4657	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Dicrotendipes	Dicrotendipes nervosus	Dicrotendipes nervosus	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
